name,player_id,height,weight,arm_length,hand_size
Luke Altmyer,4597679,73.25,210,30.375,9
Taylen Green,4431325,78,229,35,10
Garrett Nussmeier,4567747,73,202,30.875,8.75
Diego Pavia,5084180,69.875,198,29,9.5
Cole Payton,4879250,74.6667,229,32.375,10.125
Sawyer Robertson,4432759,75.625,221,32.5,9.5
Rahsul Faison,5156933,71,213,31.125,9
J'Mari Taylor,4713118,69.125,205,30.125,9.125
Jaydn Ott,4685489,70.875,202,31.25,8.5
Kaelon Black,4696044,69.75,208,29.5,8.875
Mike Washington Jr.,4686658,72.5,228,34.125,9.25
Kejon Owens,4431304,69.5,205,29.125,8.875
Nick Singleton,4685555,72,221,32,9.375
Kaytron Allen,4685246,71.125,220,30,9.5
Adam Randall,4685526,74.625,233,32.75,9.625
Seth McGowan,4686468,71.625,215,31.875,9
Caulin Lacy,4430185,68.375,189,29.75,9.375
Harrison Wallace III,4699354,71.625,194,32.875,9.625
Caleb Douglas,4869645,75.25,198,33.125,9.625
Tyren Montgomery,5103197,71.375,190,31.75,9
Reggie Virgil,4869132,74.375,188,31.5,9.375
Josh Cameron,4879194,73.25,223,33.75,10.125
Jordan Hudson,4685409,72.875,198,31.125,9
Vinny Anthony II,4869816,71.75,185,31.5,9.125
Malachi Fields,4682648,76,218,32.5,8.75
Aaron Anderson,4691138,67.625,177,30.125,9.125
Devin Voisin,4570507,69.875,182,29.75,8.875
Barion Brown,4698597,70.875,176,31.875,8.875
Ted Hurst,5220680,75.25,207,33.25,9.625
Lewis Bond,4683159,71,197,29.875,9.75
Kevin Coleman Jr.,4685307,70,174,30.25,9.25
Cyrus Allen,4912218,71.125,180,31.25,9.125
Ja'Kobi Lane,4870847,76.125,196,32.625,10.375
Joshua Cuevas,4876132,75,252,31.25,9.375
John Michael Gyllenborg,4708490,77.375,251,31.375,9.625
Sam Roush,4685504,77.625,259,31,9.75
Will Kacmarek,4880236,77,262,32.625,9.5
Dan Villari,4608858,76,243,32.25,9.75
D'Andre Rogers,4710711,75,242,33.75,9.375
Justin Joly,4912052,75,251,33.125,10.5
Matthew Hibner,4432260,76.25,239,32.625,9
Nate Boerkircher,4686248,76.875,247,32.75,10.5
Tanner Koziol,4917427,78.5,245,34.125,9.625
Delby Lemieux,5085519,77,305,31.375,9
Jalen Farmer,4838270,76.75,322,34.75,9.5
Sam Hecht,4874515,76.25,297,32,9.375
Trey Zuhn III,4431623,78.375,309,32.875,9.875
Kage Casey,4868598,77.25,309,33.25,10
Gennings Dunker,4431258,76.875,320,34,10
Beau Stephens,4592823,77,310,31.75,9.25
Alan Herron,5164879,76.75,321,34.375,9.5
Carver Willis,4565779,76.625,305,33.375,10
Keylan Rutledge,4839498,75.375,316,33.75,10
Dametrious Crownover,4431526,78.875,331,35.625,9.875
Max Iheanachor,5150136,77.625,325,34.5,9.375
Ethan Onianwa,4683194,78.25,332,34.125,9.75
Jake Slaughter,120805,76.5,305,32.75,9.875
Logan Taylor,4682789,78.375,305,34.375,10.375
Markel Bell,5219831,80.75,358,36.625,9
Jude Bowry,4869533,76.875,314,34.125,10.5
James Brockermeyer,4567783,75.125,297,32,9.375
JC Davis,5082353,76.25,335,34.75,9.875
Jeremiah Wright,4433938,77,340,33.625,9.625
Austin Barber,4597310,78.625,318,33.75,9.625
Fernando Carmona Jr.,4710000,76.5,318,32.875,9.5
Lee Hunter,4431551,75.5,320,34.25,9
Bryon Eason,4692563,74.375,316,33.625,9.75
Zane Durant,4685347,72.875,290,32.25,10.375
Deven Eastern,4609203,77.5,301,34.125,9.625
Jeffrey M'Ba,5081056,77.5,316,33.75,10.375
Rayshaun Benny,4432661,75,296,33.5,9.25
Gracen Halton,4685369,74.5,293,31.75,9.625
Caleb Banks,4602019,78,335,35,10.75
Cameron Ball,4890881,75.625,313,33,9.5
Nick Barrett,4682818,75,315,33.5,10
Tim Keenan III,4431414,73.125,332,31,8.75
Chris McClellan,4820574,75.375,315,34,10.875
Cian Slone,5153665,75.125,239,31.5,9.625
TJ Parker,4870886,75.625,263,33.25,9.75
Nadame Tucker,5081483,73.75,246,32.125,9
Dani Dennis-Sutton,4685315,77.375,268,33.75,10.375
Romello Height,4432244,74.375,234,32.75,9.5
Logan Fano,5080699,76.375,258,32,9.125
Vincent Anthony,4875123,77.375,246,34.375,9.875
Max Llewellyn,4683101,77.25,255,32.625,8.875
Derrick Moore,4685461,75.5,254,34.25,9.25
Zion Young,4839501,77.25,262,33.5,9.375
Tyreak Sapp,4889957,74.375,271,32,9.625
Quintayvious Hutchins,4698181,74.5,229,32.75,9
LT Overton,4870960,74.75,278,33.875,10.5
Keyron Crawford,4911904,75.875,251,32.25,9
Gabe Jacas,4837244,75.125,260,32.75,8.375
Nyjalik Kelly,4726151,77.125,239,35.25,10.125
Namdi Obiazor,5085407,74.375,224,31.75,10.125
Jack Kelly,4876380,73.125,246,31.25,8.875
Xavian Sorey,4431570,73.875,220,32,9.75
Owen Heinecke,5081928,73.125,224,30.375,9.375
Keyshaun Elliott,4911952,73.625,233,32,9.125
Kaleb Elarms-Orr,4594321,73.625,233,31.75,9
Scooby Williams,4875181,74.125,217,32,9
Kyle Louis,4880273,71.75,224,32,9.375
Jacob Rodriguez,5165891,73.125,233,31.25,9.25
Bryce Boettcher,5088571,72.875,227,31.625,9
Daylen Everette,4685327,72.875,193,31.875,9.5
Fred Davis II,4686092,72,197,32.75,8.875
Collin Wright,4833376,72,186,31.375,8.75
Malik Muhammad,4870953,71.875,183,32,9.5
Julian Neal,4684543,73.5,202,33.125,9.375
Ephesians Prysock,4685523,74.875,194,33.375,9.625
Davison Igbinosun,4832035,74,192,32.875,9
Chandler Rivers,4702918,69.375,185,29.75,9.25
Thaddeus Dixon,5151880,72.5,194,31.5,9.875
Chris Johnson,5231886,72.25,190,31.375,9.625
Hezekiah Masses,4917354,72.625,180,30.875,8.125
Charles Demmings,5091793,73,191,32.25,9.75
TJ Hall,4873075,72.5,188,30.125,8.125
Jalen McMurray,4683455,70.625,179,30.125,8.125
Colton Hood,4921249,71.75,188,31.5,8.875
Skyler Thomas,4879561,73.75,207,33.375,9.375
Jalen Stroman,4683155,72.375,198,31.625,8.875
Michael Taaffe,4880346,71.625,193,29.625,9.25
Jalon Kilgore,5076951,72.875,211,33.25,9.25
Kamari Ramsey,4685518,71.875,199,31,9.125
Zakee Wheatley,4566384,74.75,201,31,9.25
VJ Payne,4837388,75.125,210,33.875,9.125
Bud Clark,4430262,73,185,31.625,9.125
Wydett Williams,5099542,73.375,202,31.75,9.625
Deshon Singleton,5081093,74.5,212,33.375,9.75
